"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56315","5. Deactivate and Reactivate Dog","User_Dog","Tue Nov 25 17:40:24 IST 2025","failed","Tue Nov 25 17:41:20 IST 2025","Dog Test Suite - User_Dog","","",""
"","5102","5. Deactivate and Reactivate Dog","all-user-tests","Tue Nov 25 17:41:22 IST 2025","failed","Tue Nov 25 17:41:27 IST 2025","Dog Test Suite - User_Dog","","",""
"","16540","authenticate","setup","Tue Nov 25 17:40:05 IST 2025","passed","Tue Nov 25 17:40:22 IST 2025","","","",""
