"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","57019","Add Dog With Image and Yes Health Options","chromium","Thu Nov 13 16:31:11 IST 2025","failed","Thu Nov 13 16:32:08 IST 2025","Add Pet Dog Tests","","",""
"","120253","Add Dog With Image","chromium","Tue Nov 18 15:50:51 IST 2025","broken","Tue Nov 18 15:52:51 IST 2025","Add Pet Dog With Image Tests","","",""
"","34218","Add Dog Without Image","chromium","Thu Nov 13 16:29:37 IST 2025","failed","Thu Nov 13 16:30:11 IST 2025","Add Pet Dog Tests","","",""
"","118027","Add Dog Without Image","chromium","Thu Nov 13 16:07:23 IST 2025","passed","Thu Nov 13 16:09:21 IST 2025","Add Pet Tests","","",""
"","101029","Add Dog Without Image","chromium","Tue Nov 18 15:44:58 IST 2025","passed","Tue Nov 18 15:46:39 IST 2025","Add Pet Dog Without Image Tests","","",""
"","56773","Add Dog With Image","chromium","Thu Nov 13 16:30:13 IST 2025","failed","Thu Nov 13 16:31:10 IST 2025","Add Pet Dog Tests","","",""
