"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18420","authenticate","setup","Fri Nov 21 14:38:33 IST 2025","passed","Fri Nov 21 14:38:51 IST 2025","","","",""
"","79724","4. Edit User Dog - Modify Pet Health Options","all-user-tests","Fri Nov 21 14:40:17 IST 2025","failed","Fri Nov 21 14:41:37 IST 2025","Dog Test Suite - User_Dog","","",""
"","79146","4. Edit User Dog - Modify Pet Health Options","User_Dog","Fri Nov 21 14:38:55 IST 2025","failed","Fri Nov 21 14:40:14 IST 2025","Dog Test Suite - User_Dog","","",""
"","9","4. Edit User Dog - Modify Pet Health Options","smoke","Fri Nov 21 14:41:41 IST 2025","failed","Fri Nov 21 14:41:41 IST 2025","Dog Test Suite - User_Dog","","",""
