"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18411","authenticate","setup","Wed Nov 19 17:28:45 IST 2025","passed","Wed Nov 19 17:29:03 IST 2025","","","",""
"","185270","Register Dog Gut Sample - Using Excel Data","chromium","Wed Nov 19 17:29:08 IST 2025","broken","Wed Nov 19 17:32:13 IST 2025","Sample Registration with Excel Data","","",""
"","180741","Register Dog Oral Sample - Using Excel Data","chromium","Wed Nov 19 17:32:16 IST 2025","broken","Wed Nov 19 17:35:17 IST 2025","Sample Registration with Excel Data","","",""
