"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16467","authenticate","setup","Fri Nov 21 11:45:25 IST 2025","passed","Fri Nov 21 11:45:42 IST 2025","","","",""
"","6031","3. Add Dog With Image and Yes Health Options","smoke","Fri Nov 21 11:51:49 IST 2025","failed","Fri Nov 21 11:51:55 IST 2025","Dog Test Suite - User_Dog","","",""
"","180407","3. Add Dog With Image and Yes Health Options","all-user-tests","Fri Nov 21 11:48:46 IST 2025","broken","Fri Nov 21 11:51:47 IST 2025","Dog Test Suite - User_Dog","","",""
"","180566","3. Add Dog With Image and Yes Health Options","User_Dog","Fri Nov 21 11:45:44 IST 2025","broken","Fri Nov 21 11:48:45 IST 2025","Dog Test Suite - User_Dog","","",""
