"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180328","3. Add Dog With Image and Yes Health Options","all-user-tests","Fri Nov 21 12:16:45 IST 2025","broken","Fri Nov 21 12:19:45 IST 2025","Dog Test Suite - User_Dog","","",""
"","180695","3. Add Dog With Image and Yes Health Options","User_Dog","Fri Nov 21 12:13:42 IST 2025","broken","Fri Nov 21 12:16:43 IST 2025","Dog Test Suite - User_Dog","","",""
"","4873","3. Add Dog With Image and Yes Health Options","smoke","Fri Nov 21 12:19:47 IST 2025","failed","Fri Nov 21 12:19:52 IST 2025","Dog Test Suite - User_Dog","","",""
"","16890","authenticate","setup","Fri Nov 21 12:13:23 IST 2025","passed","Fri Nov 21 12:13:40 IST 2025","","","",""
