"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104021","5. Deactivate and Reactivate Dog","User_Dog","Tue Nov 25 17:50:15 IST 2025","passed","Tue Nov 25 17:51:59 IST 2025","Dog Test Suite - User_Dog","","",""
"","5344","5. Deactivate and Reactivate Dog","all-user-tests","Tue Nov 25 17:52:01 IST 2025","failed","Tue Nov 25 17:52:07 IST 2025","Dog Test Suite - User_Dog","","",""
"","16553","authenticate","setup","Tue Nov 25 17:49:57 IST 2025","passed","Tue Nov 25 17:50:13 IST 2025","","","",""
