"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180327","3. Add Dog With Image and Yes Health Options","all-user-tests","Fri Nov 21 12:29:04 IST 2025","broken","Fri Nov 21 12:32:05 IST 2025","Dog Test Suite - User_Dog","","",""
"","8971","3. Add Dog With Image and Yes Health Options","smoke","Fri Nov 21 12:32:07 IST 2025","failed","Fri Nov 21 12:32:16 IST 2025","Dog Test Suite - User_Dog","","",""
"","180258","3. Add Dog With Image and Yes Health Options","User_Dog","Fri Nov 21 12:26:02 IST 2025","broken","Fri Nov 21 12:29:02 IST 2025","Dog Test Suite - User_Dog","","",""
"","16845","authenticate","setup","Fri Nov 21 12:25:43 IST 2025","passed","Fri Nov 21 12:26:00 IST 2025","","","",""
