"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","59703","5. Deactivate and Reactivate Dog","User_Dog","Tue Nov 25 17:42:49 IST 2025","failed","Tue Nov 25 17:43:49 IST 2025","Dog Test Suite - User_Dog","","",""
"","16713","authenticate","setup","Tue Nov 25 17:42:30 IST 2025","passed","Tue Nov 25 17:42:47 IST 2025","","","",""
