"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4752","5. Deactivate and Reactivate Dog","all-user-tests","Tue Nov 25 17:48:41 IST 2025","failed","Tue Nov 25 17:48:46 IST 2025","Dog Test Suite - User_Dog","","",""
"","67007","5. Deactivate and Reactivate Dog","User_Dog","Tue Nov 25 17:47:32 IST 2025","failed","Tue Nov 25 17:48:39 IST 2025","Dog Test Suite - User_Dog","","",""
"","16523","authenticate","setup","Tue Nov 25 17:47:14 IST 2025","passed","Tue Nov 25 17:47:30 IST 2025","","","",""
