"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190329","Register Dog Gut Sample - Using Excel Data","chromium","Wed Nov 19 17:23:09 IST 2025","broken","Wed Nov 19 17:26:19 IST 2025","Sample Registration with Excel Data","","",""
"","10644","Register Dog Oral Sample - Using Excel Data","chromium","Wed Nov 19 17:26:22 IST 2025","failed","Wed Nov 19 17:26:33 IST 2025","Sample Registration with Excel Data","","",""
"","19371","authenticate","setup","Wed Nov 19 17:22:45 IST 2025","passed","Wed Nov 19 17:23:05 IST 2025","","","",""
