"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18830","authenticate","setup","Thu Nov 20 10:42:46 IST 2025","passed","Thu Nov 20 10:43:05 IST 2025","","","",""
"","166459","Register Dog Gut Sample - Using Excel Data","chromium","Thu Nov 20 10:43:09 IST 2025","failed","Thu Nov 20 10:45:55 IST 2025","Sample Registration with Excel Data","","",""
