"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196421","Register Dog Gut Sample - Using Excel Data","chromium","Wed Nov 19 18:03:28 IST 2025","broken","Wed Nov 19 18:06:45 IST 2025","Sample Registration with Excel Data","","",""
"","191503","Register Dog Oral Sample - Using Excel Data","chromium","Wed Nov 19 18:06:51 IST 2025","broken","Wed Nov 19 18:10:03 IST 2025","Sample Registration with Excel Data","","",""
"","19155","authenticate","setup","Wed Nov 19 18:03:04 IST 2025","passed","Wed Nov 19 18:03:23 IST 2025","","","",""
