"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16692","authenticate","setup","Fri Nov 21 12:03:47 IST 2025","passed","Fri Nov 21 12:04:04 IST 2025","","","",""
"","3503","3. Add Dog With Image and Yes Health Options","all-user-tests","Fri Nov 21 12:07:08 IST 2025","failed","Fri Nov 21 12:07:12 IST 2025","Dog Test Suite - User_Dog","","",""
"","180281","3. Add Dog With Image and Yes Health Options","User_Dog","Fri Nov 21 12:04:06 IST 2025","broken","Fri Nov 21 12:07:06 IST 2025","Dog Test Suite - User_Dog","","",""
