"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16423","authenticate","setup","Tue Nov 25 17:56:24 IST 2025","passed","Tue Nov 25 17:56:40 IST 2025","","","",""
"","61738","5. Deactivate and Reactivate Dog","User_Dog","Tue Nov 25 17:56:42 IST 2025","passed","Tue Nov 25 17:57:44 IST 2025","Dog Test Suite - User_Dog","","",""
"","61861","5. Deactivate and Reactivate Dog","all-user-tests","Tue Nov 25 17:57:46 IST 2025","passed","Tue Nov 25 17:58:48 IST 2025","Dog Test Suite - User_Dog","","",""
"","7241","5. Deactivate and Reactivate Dog","smoke","Tue Nov 25 17:58:50 IST 2025","failed","Tue Nov 25 17:58:57 IST 2025","Dog Test Suite - User_Dog","","",""
